SampleID,SampleNumber
C0621_1E_1A,FE01063
C0404_3E_1A,FE01064
C0403_3E_1A,FE01065
C0634_1E_2A,FE01066
C0159_5E_1A,FE01067
C0337_3E_1A,FE01068
C0641_1E_1A,FE01069
C0635_1E_1A,FE01070
C0016_3E_1A,FE01071
C0017_2E_1A,FE01072
C0631_1E_1A,FE01073
C0638_1E_1A,FE01074
C0648_1E_1A,FE01075
C0643_1E_1A,FE01076
C0636_1E_1A,FE01077
C0254_5E_1A,FE01078
M0651_1E_1A,FE01079
M0644_1E_1A,FE01080
M0652_1E_1A,FE01081
C0633_1E_1A,FE01082
C0634_1E_1A,FE01083
C0655_1E_1A,FE01084
C0196_5E_1A,FE01085
C0194_4E_1A,FE01086
C0642_1E_1A,FE01087
C0661_1E_1A,FE01088
C0620_1E_1A,FE01089
M0663_1E_1A,FE01090
C0639_1E_1A,FE01091
M0662_1E_1A,FE01092
M0647_1E_1A,FE01093
C0624_1E_1A,FE01094
C0660_1E_1A,FE01095
C0686_1E_1A,FE01096
C0683_1E_1A,FE01097
M0647_2E_1A,FE01098
C0107_4E_1A,FE01099
M0676_1E_1A,FE01100
C0673_1E_1A,FE01101
C0202_6E_1A,FE01102
M0682_1E_1A,FE01103
M0685_1E_1A,FE01104
C0597_2E_1A,FE01105
C0106_6E_1A,FE01105
C0679_1E_1A,FE01106
M0705_1E_1A,FE01107
M0714_1E_1A,FE01108
C0237_4E_1A,FE01109
M0662_2E_1A,FE01110
C0688_1E_1A,FE01111
M0680_2E_1A,FE01112
M0715_1E_1A,FE01113
C0694_1E_1A,FE01114
M0713_1E_1A,FE01115
M0716_1E_1A,FE01116
M0711_1E_1A,FE01117
C0123_3E_1A,FE01118
C0623_1E_1A,FE01119
C2014_2E_1A,FE01120
C0058_4E_1A,FE01121
M0718_1E_1A,FE01122
M0723_1E_1A,FE01123
C0059_4E_1A,FE01124
M0685_2E_1A,FE01125
C0672_1E_1A,FE01126
C0730_1E_1A,FE01127
C0735_1E_1A,FE01128
C2002_3E_1A,FE01129
M0749_1E_1A,FE01130
C0725_1E_1A,FE01131
M0754_1E_1A,FE01132
M0652_3E_1A,FE01133
M0757_1E_1A,FE01134
M0644_3E_1A,FE01135
M0753_1E_1A,FE01136
M0774_1E_1A,FE01137
C0047_7E_1A,FE01138
C0767_1E_1A,FE01139
M0715_2E_1A,FE01140
M0765_1E_1A,FE01141
M0662_3E_1A,FE01142
M0742_2E_1A,FE01143
M0713_2E_1A,FE01144
C0743_1E_1A,FE01145
M0745_2E_1A,FE01146
M0711_2E_1A,FE01147
C0724_1E_1A,FE01148
M0792_1E_1A,FE01149
M0791_1E_1A,FE01150
M0790_1E_1A,FE01151
M0700_3E_1A,FE01152
C0788_1E_1A,FE01153
C0789_1E_1A,FE01154
C0784_1E_1A,FE01155
C0785_1E_1A,FE01156
M0752_2E_1A,FE01157
M0651_2E_1A,FE01158
M0742_2E_2A,FE01159
C0768_1E_1A,FE01160
M0774_2E_1A,FE01161
C0799_1E_1A,FE01162
M0801_1E_1A,FE01163
C0811_1E_1A,FE01164
M0805_1E_1A,FE01165
M0808_1E_1A,FE01166
C0332_4E_1A,FE01167
C0052_7E_1A,FE01168
C0053_8E_1A,FE01169
M0794_1E_1A,FE01170
