accession	study	object_status	bioproject_accession	biosample_accession	sample_name	filename	filename2	title	library_ID	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype
SRR13740485	SRP307019	new	PRJNA695570	SAMN17618458	C0052_5F_1A	C0052-5F-1A_pair1.fastq.gz	C0052-5F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 52, timepoint 5	C0052_5F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740484	SRP307019	new	PRJNA695570	SAMN17618459	C0126_8F_1A	C0126-8F-1A_pair1.fastq.gz	C0126-8F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 126, timepoint 8	C0126_8F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739947	SRP307019	new	PRJNA695570	SAMN17618460	C0286_5F_1A	C0286-5F-1A_pair1.fastq.gz	C0286-5F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 286, timepoint 5	C0286_5F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740106	SRP307019	new	PRJNA695570	SAMN17618461	C0296_5F_1A	C0296-5F-1A_pair1.fastq.gz	C0296-5F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 296, timepoint 5	C0296_5F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740490	SRP307019	new	PRJNA695570	SAMN17618462	C0053_6F_1A	C0053-6F-1A_pair1.fastq.gz	C0053-6F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 53, timepoint 6	C0053_6F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740376	SRP307019	new	PRJNA695570	SAMN17618463	C0108_4F_1A	C0108-4F-1A_pair1.fastq.gz	C0108-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 108, timepoint 4	C0108_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740265	SRP307019	new	PRJNA695570	SAMN17618464	C0498_1F_1A	C0498-1F-1A_pair1.fastq.gz	C0498-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 498, timepoint 1	C0498_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739596	SRP307019	new	PRJNA695570	SAMN17618465	C0043_7F_1A	C0043-7F-1A_pair1.fastq.gz	C0043-7F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 43, timepoint 7	C0043_7F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13739833	SRP307019	new	PRJNA695570	SAMN17618466	C0117_4F_1A	C0117-4F-1A_pair1.fastq.gz	C0117-4F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 117, timepoint 4	C0117_4F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
SRR13740184	SRP307019	new	PRJNA695570	SAMN17618467	C0499_1F_1A	C0499-1F-1A_pair1.fastq.gz	C0499-1F-1A_pair2.fastq.gz	Shotgun metagenomic sequence of stool sample: subject 499, timepoint 1	C0499_1F_1A-mgx	WGS	METAGENOMIC	RANDOM	paired	ILLUMINA	NextSeq 550	Libraries were prepared with Illumina Nextera Flex Kit for MiSeq and NextSeq from 1 ng of each sample. Samples were then pooled onto a plate and sequenced on the Illumina NextSeq 550 platform using 150+150 bp paired-end high output chemistry	fastq
